,0
0,Afghanistan
1,Albania
2,Algeria
3,American Samoa
4,Andorra
5,Angola
6,Anguilla
7,Antigua and Barbuda
8,Argentina
9,Armenia
10,Aruba
11,Australia
12,Austria
13,Azerbaijan
14,Bahamas
15,Bahrain
16,Bangladesh
17,Barbados
18,Belarus
19,Belgium
20,Belize
21,Benin
22,Bermuda
23,Bhutan
24,Bolivia
25,Bonaire; Sint Eustatius; Saba
26,Bosnia and Herzegowina
27,Botswana
28,Brazil
29,British Indian Ocean Territory
30,Brunei Darussalam
31,Bulgaria
32,Burkina Faso
33,Burundi
34,Cambodia
35,Cameroon
36,Canada
37,Cape Verde
38,Cayman Islands
39,Central African Republic
40,Chad
41,Chile
42,China
43,Colombia
44,Comoros
45,Congo
46,Congo The Democratic Republic of The
47,Cook Islands
48,Costa Rica
49,Cote D'ivoire
50,Croatia (LOCAL Name: Hrvatska)
51,Cuba
52,Curacao
53,Cyprus
54,Czech Republic
55,Denmark
56,Djibouti
57,Dominica
58,Dominican Republic
59,Ecuador
60,Egypt
61,El Salvador
62,Equatorial Guinea
63,Eritrea
64,Estonia
65,Ethiopia
66,European Union
67,Faroe Islands
68,Fiji
69,Finland
70,France
71,French Guiana
72,French Polynesia
73,Gabon
74,Gambia
75,Georgia
76,Germany
77,Ghana
78,Gibraltar
79,Greece
80,Greenland
81,Grenada
82,Guadeloupe
83,Guam
84,Guatemala
85,Guernsey
86,Guinea
87,Guinea-bissau
88,Guyana
89,Haiti
90,Holy See (VATICAN City State)
91,Honduras
92,Hong Kong
93,Hungary
94,Iceland
95,India
96,Indonesia
97,Iran (ISLAMIC Republic Of)
98,Iraq
99,Ireland
100,Isle of Man
101,Israel
102,Italy
103,Jamaica
104,Japan
105,Jersey
106,Jordan
107,Kazakhstan
108,Kenya
109,Kiribati
110,Korea Democratic People's Republic of
111,Korea Republic of
112,Kuwait
113,Kyrgyzstan
114,Lao People's Democratic Republic
115,Latvia
116,Lebanon
117,Lesotho
118,Liberia
119,Libyan Arab Jamahiriya
120,Liechtenstein
121,Lithuania
122,Luxembourg
123,Macau
124,Macedonia
125,Madagascar
126,Malawi
127,Malaysia
128,Maldives
129,Mali
130,Malta
131,Marshall Islands
132,Martinique
133,Mauritania
134,Mauritius
135,Mayotte
136,Mexico
137,Micronesia Federated States of
138,Moldova Republic of
139,Monaco
140,Mongolia
141,Montenegro
142,Montserrat
143,Morocco
144,Mozambique
145,Myanmar
146,Namibia
147,Nauru
148,Nepal
149,Netherlands
150,New Caledonia
151,New Zealand
152,Nicaragua
153,Niger
154,Nigeria
155,Niue
156,Norfolk Island
157,Northern Mariana Islands
158,Norway
159,Oman
160,Pakistan
161,Palau
162,Palestinian Territory Occupied
163,Panama
164,Papua New Guinea
165,Paraguay
166,Peru
167,Philippines
168,Poland
169,Portugal
170,Puerto Rico
171,Qatar
172,Reunion
173,Romania
174,Russian Federation
175,Rwanda
176,Saint Kitts and Nevis
177,Saint Lucia
178,Saint Martin
179,Saint Vincent and The Grenadines
180,Samoa
181,San Marino
182,Sao Tome and Principe
183,Saudi Arabia
184,Senegal
185,Serbia
186,Seychelles
187,Sierra Leone
188,Singapore
189,Sint Maarten
190,Slovakia (SLOVAK Republic)
191,Slovenia
192,Solomon Islands
193,Somalia
194,South Africa
195,South Sudan
196,Spain
197,Sri Lanka
198,St. Pierre and Miquelon
199,Sudan
200,Suriname
201,Swaziland
202,Sweden
203,Switzerland
204,Syrian Arab Republic
205,Taiwan; Republic of China (ROC)
206,Tajikistan
207,Tanzania United Republic of
208,Thailand
209,Timor-leste
210,Togo
211,Tokelau
212,Tonga
213,Trinidad and Tobago
214,Tunisia
215,Turkey
216,Turkmenistan
217,Turks and Caicos Islands
218,Tuvalu
219,Uganda
220,Ukraine
221,United Arab Emirates
222,United Kingdom
223,United States
224,Uruguay
225,Uzbekistan
226,Vanuatu
227,Venezuela
228,Viet Nam
229,Virgin Islands (BRITISH)
230,Virgin Islands (U.S.)
231,Wallis and Futuna Islands
232,Yemen
233,Zambia
234,Zimbabwe
